,Year,MovieId,Name,tmdb_id,tmdb_title
690,2022,20609,我的夏日大戀習,,
692,2022,21994,美國女孩的日本日記,,
693,2022,23416,心情直播不NG,,
694,2022,19908,說不出口的愛,,
695,2022,21381,神隱少年狼,,
699,2022,20675,晚春,,
700,2022,23186,戀上笨拙的你,,
706,2022,18749,《爆裂戰警》,,
707,2022,3401,河北臺北+講話沒有在聽,,
712,2022,12489,五月天 人生無限公司,,
733,2022,22268,童話·世界,,
737,2022,19065,魔法阿媽 4K數位修復版,,
745,2022,20711,女優 摔吧！,,
747,2022,20176,諸葛四郎─英雄的英雄,,
750,2022,20052,有你相伴的旅程,,
757,2022,19400,回眸,,
758,2022,22108,大俠胡金銓 第一部曲—先知曾經來過,,
761,2022,20203,妖果小學─水果奶奶的大秘密,,
763,2022,22084,大俠胡金銓 第二部曲—斷腸人在天涯,,
768,2022,20805,再會啦  白宮,,
774,2022,21179,費爾的旅程,,
775,2022,17831,削瘦的靈魂,,
779,2022,22372,臥虎藏龍,,
785,2022,18531,綠色牢籠,,
787,2022,20922,有時 Mama，有時 Mimi,,
791,2022,19624,17歲的天空 4K數位修復版,,
793,2022,22908,全明星星光音樂會,,
800,2022,20867,幻日手記 ,,
802,2022,21949,如霧起時,,
804,2022,20674,如夢,,
805,2022,21943,如歌的行板,,
806,2022,21914,兩地,,
809,2022,22080,化城再來人,,
811,2022,21887,朝向一首詩的完成,,
812,2022,21932,尋找背海的人,,
813,2022,20853,獨自寂寞+少年阿堯+午後+看海,,
814,2022,22179,逍遙遊,,
815,2022,21908,無岸之河,,
816,2022,1586,讀中文系的人,,
818,2022,1626,東西,,
822,2022,1608,我城,,
824,2022,20270,送報伕/不屈的魂靈—楊逵,,
825,2022,20263,台灣新文學之父—賴和/安安靜靜林雙不,,
832,2022,20747,如果有一天我將會離開你,,
835,2022,22791,溫暖的抱抱,,
846,2023,23589,BTS: YET TO COME IN CINEMAS,,
857,2023,25642,IU CONCERT: THE GOLDEN HOUR,,
880,2023,26350,NCT NATION：To The World in Cinemas,,
881,2023,23549,維特:音樂劇,,
891,2023,23390,碰碰狐音樂電影:奇幻城嘉年華,,
896,2023,23882,WINNER 2022 CONCERT THE CIRCLE : THE MOVIE,,
912,2023,25268,KANGDANIEL: MY PARADE,,
919,2023,24492,蝙蝠：血色情慾 數位修復版,,
929,2023,21265,PINA,,
933,2023,25631,五月的35日,,
942,2023,26389,666號房,,
