TWName,TMDBID
邪惡根本不存在,1156125
言葉之庭,198375
完美配對謀殺案,1044555
北極百貨的秋乃小姐,1117609
PTP：永遠不滅,1409517
怪物樵夫,1137142
DDDD惡魔的破壞 前編,Not Found
消失的豪門妻,1276849
風都偵探 假面騎士SKULL的肖象,Not Found
刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【前篇】,Not Found
DDDD惡魔的破壞 後編,Not Found
沙奈：詛咒之歌,1130899
我心裡的太陽,1267822
派對咖孔明 Road to Summer Sonia,1211650
心靈遊戲,21712
藍色時期,1268198
擅長捉弄人的高木同學 電影版,Not Found
雲之彼端，約定的地方,12924
麵包超人電影版：細菌人與繪本的露露,Not Found
異國日記,1163269
在大雪封閉的山莊裡,1231785
Silent Love,951240
黑箱日記,1214499
魔法少女小圓劇場版 [新篇] 叛逆的物語,212162
刀劍亂舞 迴 -旋傳 親近的侍從們-,Not Found
鴉色刑事組電影版,1025301
假面騎士555 20th 復活的天堂,1122715
長夜盡頭的微光,1086011
追逐繁星的孩子,79707
刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【後篇】,Not Found
法庭遊戲,1101181
搬家 4K數位修復版,Not Found
孤島診療所2022,1019421
偶像大師 劇場版: 前往光輝的另一端 經典10週年,Not Found
美妙寵物 光之美少女電影: 心跳加速♡遊戲世界大冒險！,1266540
雨中的慾情,1283793
假面騎士 THE WINTER MOVIE- 葛查多 & GEATS 最強克米GOTCHA大作戰,Not Found
星之聲,37910
老師的善意謊言,1273597
春畫先生,1188019
赤羽骨子的秘密保鑣,1302106
我的一夜騎士,1152908
愛在閃電下,1140221
波紋,1062910
失樂園,68606
自白,980816
銀魂劇場版 2D  荊棘惡童篇,Not Found
在那開滿花的山丘，我想見到妳,1153325
魯邦三世 卡里奧斯特羅城 4K數位修復版,Not Found
仇雲殺機,1244244
三日月和貓,1293338
BLOODY ESCAPE：地獄的逃走劇,1103432
巡演轉學生,1212497
日本人的養成,1186850
日安，我的母親,1101734
來生再見未名的我們,1094482
不朽之櫻,1276633
冰室蓮司：日本統一 台灣篇,1254532
月,1145026
風之谷,81
"Fukuyama Masaharu Live Film Kotodama no Sakiwau Natsu ""Boy Meets The Music"" @Nippon Budokan 2023",1210309
劇場版 森林家族 來自芙蕾雅的禮物 中文版,Not Found
最後一擊,921
黑之牛,1167863
電影版 X光室的奇蹟,Not Found
群青戰記,726657
福田村事件,1155235
我家的故事,1015464
難言之隱,1255316
八犬傳,1276242
惡靈怪談,1265800
那日清晨真令人感到空虛,1072742
搖滾吧！中二樂團,626767
不死戀人,1240834
OUT,706860
紅豬,11621
情慾的界線,1002535
劇場版「進擊的巨人」完結篇THE LAST ATTACK,1333100
我變笨了，請多多指教：媽媽 歡迎回來,969784
大室家-親愛的朋友,1211716
空海 【經典數位修復】,Not Found
大室家-親愛的姊妹,1177096
從水深0米開始,1250407
鐵道員,68837
電影版 吹響吧！上低音號～莉茲與青鳥～,482150
殺人結業弒,890526
自戀男神,1078280
再見箱舟,Not Found
納米比亞沙漠直播中,1275240
東京戰爭戰後秘語,Not Found
不完美的愛情革命,478376
薔薇與武士2：海盜女王的回歸（新感線舞台劇第四季）,Not Found
東京公園,202885
宛如阿修羅,110852
其後,1186979
家族遊戲,117129
春天情書,Not Found
廚房,50256
我來買單,Not Found
如此這般,253235
未來的回憶,501657
我的夏日旅行,328083
黑暗之家,36142
細野晴臣：再會美國,Not Found
藍色假期,1278652
花芯蕩漾,1126361
偶慾,1009087
慾望的盡頭,1074174
背德迷情,1032767
蜜鑰,1009082
狐晴明九尾狩（新感線舞台劇第四季）,Not Found
藥頭悲歌II：血染雙手,Not Found
荒蕪之地．應許之心,980026
蘇維埃巴士站,1031050
自由協議,1085218
短句之國,1079202
托芙的房間,1108450
藥頭悲歌,Not Found
藥頭悲歌III：死神上門,Not Found
角頭-大橋頭,1303236
青春18×2 通往有你的旅程,1188258
鬼才之道,1006724
還錢,1166073
夏日的檸檬草,1261250
鬼天廈,926188
乒乓男孩,1027588
破浪男女,1029244
鬼們之蝴蝶大廈,1102857
嘎啦,1270769
八戒,1088128
我想和你在一起,1283068
台灣超人,1377013
莎莉,1007980
愛的噩夢,1078374
愛情城事,996871
餘燼,1162931
小雁與吳愛麗,1084740
我在這裡等你,1214266
鳳姐,1015623
愛子歸來,937855
種土,1088709
女兒的女兒,13313
千禧曼波,11553
尋找湯德章,1236428
看到靈魂的那隻眼 師公,1248407
春行,1083971
交換禮物,1395259
我父英風,1297616
默殺：無聲之地,1019828
為我辦一場西式的喪禮,1235022
OZONE 青春冒險,1318638
導演你有病,1226599
雪水消融的季節,1255586
阿姨，上學囉！,1308707
夏日的文化洋行,Not Found
環南時候,1085574
優雅的相遇,1239035
（真）新的一天,1022489
非想非非想,1341782
故事 開始的地方—希望閱讀,1401427
念念眷村：文學裡的眷村故事,1311577
默視錄,948184
客人主人,1305515
滿七,1239038
她說,1233209
以愛之茗,662402
一一,845781
KANO,256930
睏寐之際,1006739
恐怖份子,78450
誰殺了比利比莉,1149096
魅舞,1223386
傷痕-老兵的故事,1401562
明天比昨天長久,1006664
台北十日,1330874
由島至島（上）,Not Found
戀戀風塵（數位修復版）,Not Found
曦曦,1265692
恐怖份子（數位修復版）,Not Found
一點一滴的死/長夜/一個女人生命中的三小時/山雨欲來,Not Found
五福女孩/隔河/再見觸身/泳夜,Not Found
注意看，這個女人⋯⋯/如果時間在此刻停下/我可以暫時逃跑一下嗎？,Not Found
刺心切骨,940247
金門,1203439
由島至島,1247973
危機航線,949709
怒潮,950019
一部未完成的電影,878607
莫斯科行動,783121
熊出沒．伴我“熊芯”,1078012
石門,456611
前途海量,1290839
消失的她,1108211
拯救嫌疑人,1155257
新封神榜：楊戩,Not Found
沉默筆錄,1181642
雞蛋和石頭,Not Found
笨鳥,438030
不丹沒有槍,1109237
十字路口的豬,1287986
遠方 數位修復版,Not Found
雪中真相,1008393
