MovieId,Rank,Region,Name,ReleaseDate,Publisher,DayCount,TheaterCount,Amount,AmountRate,Tickets,TicketRate,MarketShare,TotalDayCount,TotalAmount,TotalTickets,FirstWeekAmount,TotalWeekendAmount,Year,Name_search,Name_map,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,title_map
23206,21,韓國,NCT DREAM THE MOVIE : In A DREAM,2022-11-30,Trafalgar Releasing Ltd.,12.0,10,2304050,0,4848,0,0.000216556310648,12,2304050,4848,1643100,1615425,2022,NCT DREAM THE MOVIE : In A DREAM,NCTDREAMTHEMOVIE:INADREAM,False,/fP5wcmD3m1AiZuFXMDWAZQ47fWq.jpg,"[99, 10402]",1038198.0,ko,엔시티 드림 더 무비: 인 어 드림,"The brand-new film features high-energy performances with the seven members captured during their second solo concert, NCT DREAM TOUR ""THE DREAM SHOW 2 : In A DREAM"", at the iconic Olympic Stadium, the largest stadium in South Korea and the dream venue for music artists. This unmissable event also includes behind-the-scenes footage, exclusive backstage interviews, and a look at the future the members envision away from the stage!",0.4,/qydle2TgTz5Qq0bTeKItG5kcEwS.jpg,2022-11-30,NCT DREAM THE MOVIE : In A DREAM,False,10.0,2.0,NCTDREAMTHEMOVIE:INADREAM
23216,22,韓國,整形帝王,2022-12-02,RELAY MOTION KFT.,30.0,61,2260326,0,9913,0,0.000442805838997,36,2260326,9913,1647692,1483806,2022,整形帝王,整形帝王,False,/15EgH2UPtr98MFkNajU6BjBTEcf.jpg,[35],717090.0,ko,압꾸정,擁有源源不絕的生意點子與天生好口才的狎鷗亭在地人大國（馬東石 飾），遇上了曾風光一時且擁有頂尖實力的整形外科醫師智友（鄭敬淏 飾）。有著夢想能東山再起的野心，且能一眼看出潛力的大國，本能地覺得迎來了一生一次能發揮事業手腕的時機。大國以不凡的推力匯集了智友的實力、「狎鷗亭人氣王」美晶（吳娜拉 飾）的情蒐能力、「狎鷗亭富豪」太天（崔炳模 飾）的資金，並找上了擁有「狎鷗亭黃金人脈」的揆鈺（吳連序 飾），決心打造狎鷗亭的全盛期……,3.274,/ekTQ47jvMKVYhWBvd8xAYOeQ3fd.jpg,2022-12-02,整形帝王,False,5.4,21.0,整形帝王
21779,23,韓國,邪門,2022-07-15,Atrium Productions Kft.,35.0,40,2200799,0,8984,0,0.000401308146631,35,2200799,8984,1716656,1356684,2022,邪門,邪門,False,/xQeTqKcrHCR61wY7nv0zQYx1hiQ.jpg,"[27, 9648]",877260.0,ko,뒤틀린 집,一個家庭搬到寧靜又與世隔絕的新家。這棟看起來還不錯的新房，卻籠罩一些不祥的跡象。妻子（徐令姬飾演）在遷入的第一天晚上，就開始飽受噩夢折磨，並對倉庫裡傳來的怪聲感到心神不寧，不過她的丈夫（金珉才飾）卻對此無動於衷，孩子們也在父母的矛盾中變得焦慮不安。隨著這家人的噩夢愈來愈嚴重，他們開始無法分辨幻想與現實，更將面對深埋在這棟房子裡的驚駭秘密…。,1.586,/rTT9LmH6eQ2GFaOx6wzenCJAoj8.jpg,2022-07-13,邪門,False,4.5,9.0,邪門
21823,24,韓國,非常殺手,2022-07-22,RELAY MOTION KFT.,26.0,51,2185586,0,9147,0,0.000408589227207,26,2185586,9147,1692384,1474008,2022,非常殺手,非常殺手,False,/cBKEtKtTwXtRNbVQS1nxuO8ToJw.jpg,"[28, 80, 53]",938008.0,ko,더 킬러: 죽어도 되는 아이,傳奇殺手義康（張赫 飾）在引退後過著奢侈的生活，某天卻被要求幫忙照顧一名任性的女高中生允智（李書英 飾）。當義康心想只要暫時當一下允智的監護人即可，沒想到少女卻遭綁架。「那個孩子不能受傷！」努力保持低調的義康的本能就此覺醒！,32.431,/8iHk5hAAtumYMQIiCSyWnOJZs19.jpg,2022-07-13,非常殺手,False,7.698,377.0,非常殺手
20110,25,韓國,獵魂者,2021-12-03,K-Movie Entertainment,28.0,2,40210,0,764,0,3.41272733778188e-05,47,1983735,9137,1558796,1341060,2022,獵魂者,獵魂者,False,/9GVaQMfv8uhIKWQdDUxP02intKW.jpg,"[28, 9648, 53, 14]",602295.0,ko,유체이탈자,一名男子（尹啟相 飾）車禍後不僅失去記憶，甚至每隔12小時，靈魂就會移轉到另一人身上。在他拼命尋找「我是誰」的過程中，不但遭到地下組織追殺，更遇見一位自稱認識他的神祕女子（林知衍 飾）。疑點重重的記憶謎團、分秒必爭的獵殺行動，他能否找回自己的身體，並揭發不可告人的真相？,7.417,/kx1q6yc29gxEBqVjVAQ5ZdsWiim.jpg,2021-12-03,獵魂者,False,6.3,72.0,獵魂者
9051,26,韓國,燃燒烈愛,2018-06-29,FINECUT CO.  LTD.,2.0,1,21730,0,99,0,4.4222513931990334e-06,62,1909548,8803,896110,1065618,2022,燃燒烈愛,燃燒烈愛,False,/rENYZSx6HFME7YLbbY0qGYayL7F.jpg,"[9648, 18, 53]",491584.0,ko,버닝,"目標成為作家的青年李鍾秀（劉亞仁 飾），平日裡靠兼職養活自己。經營畜牧業的父親不諳人情，官司纏身，迫使鍾秀又要為了搭救父親而四處奔走。這一日，鍾秀在某大型賣場重逢了當年的同學申惠美（全鍾淑 飾）。惠美計劃近期前往非洲旅行，於是拜託鍾秀照看愛貓Boil。不久後惠美回國，與之一同下飛機的還有名叫本（史蒂文·元 飾）的男子。本駕駛保時捷，居住在高級公寓內，優哉游哉，不見工作，四處玩樂，和鍾秀相比有如天上地下。不知為何，本走入平民鍾秀和惠美的生活，更向新朋友講述了他奇特的癖好。在鍾秀家小聚的那個晚上過後，惠美彷彿人間蒸發了一般無影無蹤…… 　　影片處處充滿了象徵和隱喻，導演李滄東在這部作品中，用不斷升級的危機和謎團，探索了最難以言喻的話題。演員劉亞仁和史蒂夫.元雙雙給出了事業中最傑出的表演，而新人演員全鍾淑儘管被夾在兩個如此經驗豐富的演員中間，仍然毫不失色。韓國導演李滄東拿下坎城影評人費比西獎，本片改編自村上春樹短篇小說《燒穀倉》。主演劉亞仁、《陰屍路》史蒂芬元、千人海選新星全鍾淑，詮釋故事中揪葛三角情情慾，生活圈沒有交集的兩個男人和海美之間發生的故事。",25.904,/l1LIJ0p6WQhWJ3qb0fDJLFyKL4l.jpg,2018-05-17,燃燒烈愛,False,7.382,1625.0,燃燒烈愛
20335,27,韓國,緣來大飯店,2021-12-30,RELAY MOTION KFT.,27.0,47,1157216,0,4835,0,0.00021597561097,29,1903111,7882,1530166,1228626,2022,緣來大飯店,緣來大飯店,False,/2tZb1Aq8TK55GAWuGnosGy9Rmt5.jpg,"[35, 10749]",821661.0,ko,해피 뉴 이어,故事講述帶著各自的故事與煩惱前往入住「Mros」飯店的人們，以不同的方式和對方相遇，創造只屬於自己的緣分的故事。,8.894,/al6GafCV6g8MbPgPjRlzUv5oe8x.jpg,2021-12-29,緣來大飯店,False,7.1,143.0,緣來大飯店
23214,28,韓國,失控正義,2022-12-09,ATRIUM PRODUCTIONS KFT.,23.0,41,1839041,0,7626,0,0.000340647364894,46,1839041,7626,1381220,1255820,2022,失控正義,失控正義,False,/iWHXT7XmACGUEMY61f2hkXs5udE.jpg,"[28, 53]",882580.0,ko,크리스마스 캐럴,復仇，要付出多少代價 ？聖誕節清晨，一具男孩的屍體在水箱中被發現，受害者是患有智能障礙的少年。儘管有明顯的施暴痕跡，但社工還是讓男孩患有癡呆症的奶奶，在死亡證明書上簽字，最後以溺水事件結案。事件發生後，奶奶因為悲痛而孤獨地死去。受害者的雙胞胎哥哥（朴珍榮飾演）也失去了所有親人。他決定把正義掌握在自己手裡，獨自一人尋求真相。他在與弟弟的最後一次通話中，聽到疑似加害者的聲音。他循線進入少年輔育院，並得到曾照顧過弟弟的諮商老師（金永敏飾演）協助，在那個無法無天的少年世界裡，展開以暴制暴的復仇…。,5.581,/miamx8yH8ctXWg1i09JsBVfk2VH.jpg,2022-12-09,失控正義,False,6.529,17.0,失控正義
23362,29,韓國,共感頻率,2022-12-23,RELAY MOTION KFT.,9.0,54,1695300,0,7083,0,0.00031639198604,28,1695300,7083,1553177,1333698,2022,共感頻率,共感頻率,False,/bBFpkBVlOR2qeT6oE3W9uPkfNOr.jpg,"[10749, 18]",962489.0,ko,동감,1999年，龍（呂珍九 飾）為了追求一見鍾情的對象寒率（金惠奫 飾），向朋友借了無線電對講機。身處2022年的花紋（趙怡賢 飾）為了一項採訪作業，啟動了老舊的無線電對講機。「呼叫…呼叫…有聽到我的聲音嗎？」月全食發生的夜晚，跨越了時空，奇蹟般地產生連結的龍和花紋，互相分享著他們的愛情和友情，彼此也漸漸累積特別的情感……,5.519,/um6TKWYaEvyPhFDlvjQ8V4fNTti.jpg,2022-12-23,共感頻率,False,6.453,32.0,共感頻率
20402,30,韓國,無間對決,2022-01-14,RELAY MOTION KFT.,21.0,44,1627590,0,6888,0,0.000307681490872,21,1627590,6888,1262555,1023466,2022,無間對決,無間對決,False,/j1mVOt9GRg1LcsEVcXFG3Ab1otb.jpg,[80],610321.0,ko,경관의 피,廣域搜查隊組長朴剛尹，收取來源不明的巨額款項，住在豪宅、身穿高級西裝，每天開著進口名車。然而，某天卻遇見了一名講求原則主義的新進警察崔旻載。朴剛尹揭開了自己獨特的搜查方式，愈來愈親近的兩人在一起調查新型毒品案件的過程中，朴剛尹發現崔旻載是名負責監視自己的警察，而崔旻載也漸漸接近了隱藏在朴剛尹背後警察組織的祕密……,5.349,/m2Bjz1UOMMnPbOWaMuShAkb0Dfu.jpg,2022-01-05,無間對決,False,6.5,30.0,無間對決
