movie_id,Name_id,name,Actor,Director
681260,1439969,"Benson Jack Anthony",Yes,No
681260,2309880,"Frances Berry",Yes,No
681260,2159489,"Christian Charisiou",Yes,No
681260,79692,"Justine Clarke",Yes,No
681260,1779883,"Noel Cleary",Yes,Yes
934957,199486,"Elyse Levesque",Yes,No
934957,23524,"Veronica Ferres",Yes,No
934957,229400,"Gina Stiebitz",Yes,No
934957,239793,"Vladimir Burlakov",Yes,No
934957,1245709,許瑋甯,Yes,No
955644,1535053,"Julian Maroun",Yes,No
955644,1253190,"Bettina Kenney",Yes,No
955644,1900234,"Margot Nuccetelli",Yes,No
955644,2746828,"Elisa Boyd",Yes,No
955644,3040744,"James Dyke",Yes,No
567927,42930,"Anna Brüggemann",Yes,No
567927,1164934,"Alexander Khuon",Yes,No
567927,133264,"Monika Anna Wojtyllo",Yes,No
567927,1295654,"Rike Eckermann",Yes,No
567927,40501,"Mark Waschke",Yes,No
620498,684,湯姆·希林,Yes,No
620498,1111158,"Albrecht Schuch",Yes,No
620498,1075020,"Saskia Rosendahl",Yes,No
620498,20266,"Michael Wittenborn",Yes,No
620498,1815172,"Petra Kalkutschke",Yes,No
795813,7827,"Maren Eggert",Yes,No
795813,221018,"Dan Stevens",Yes,No
795813,7152,桑德拉·惠勒,Yes,No
795813,5853,"Hans Löw",Yes,No
795813,225233,"Wolfgang Hübsch",Yes,No
681349,3872,丹尼爾·布爾,Yes,Yes
681349,15486,"Peter Kurth",Yes,No
681349,1295654,"Rike Eckermann",Yes,No
681349,1328488,"Aenne Schwarz",Yes,No
681349,1080195,"Vicky Krieps",Yes,No
871530,5649,克里斯多夫·馬利亞·赫斯特,Yes,No
871530,1859,"Christiane Paul",Yes,No
871530,55882,"Jytte-Merle Böhrnsen",Yes,No
871530,17373,"Jürgen Vogel",Yes,No
871530,1253977,"Bettina Lamprecht",Yes,No
852457,3319869,"Avan Jamal",Yes,No
852457,3319870,"Vania Salar",Yes,No
852457,3068939,"Hussein Hassan Ali",Yes,No
852457,1867407,"Shwan Attoof",Yes,No
852457,3476977,"Hushyar Nerwayi",Yes,No
739323,2761814,"Omer Perelman Striks",Yes,No
739323,3199078,"Asaf Jonas",Yes,No
739323,3199079,"Nadia Kucher",Yes,No
739323,2897490,"Igal Reznik",Yes,No
739323,3199080,"Gal Ben Amra",Yes,No
607442,931999,"Simone Spoladore",Yes,No
607442,562363,"Javier Drolas",Yes,No
607442,1629556,"Felipe Rocha",Yes,No
607442,1955049,"Gabriel Stauffer",Yes,No
607442,1265054,"Martha Nowill",Yes,No
546630,104243,佛洛里昂·大衛·費茲,Yes,Yes
546630,16808,馬提亞斯·史維克福,Yes,No
546630,146057,"Miriam Stein",Yes,No
546630,6263,"Hannelore Elsner",Yes,No
546630,67546,"Wolfgang Stumph",Yes,No
776542,40501,"Mark Waschke",Yes,No
776542,15480,"Sabine Timoteo",Yes,No
776542,2918039,"Wanja Valentin Kube",Yes,No
776542,1432056,"Jule Hermann",Yes,No
776542,1274229,"Marthe Schneider",Yes,No
104,679,"Franka Potente",Yes,No
104,677,莫里茲·佈雷多,Yes,No
104,1081,"Herbert Knaup",Yes,No
104,1082,"Nina Petri",Yes,No
104,1083,"Armin Rohde",Yes,No
608980,67323,"Margherita Buy",Yes,No
608980,59270,里卡多·史卡馬奇歐,Yes,No
608980,128748,"Alba Rohrwacher",Yes,No
608980,73475,"Adriano Giannini",Yes,No
608980,1570257,艾琳娜·列蒂,Yes,No
612491,1395660,"Alessandro Borghi",Yes,No
612491,69489,"Jasmine Trinca",Yes,No
612491,1123262,"Greta Scarano",Yes,No
612491,131624,"Vinicio Marchioni",Yes,No
612491,1482131,"Linda Caridi",Yes,No
47060,65354,楊貴媚,Yes,No
47060,71171,"Lee Kang-sheng",Yes,No
47060,150345,"Miao Tian",Yes,No
47060,150475,"Hui-Chin Lin",Yes,No
47060,150474,"Lin Kun-huei",Yes,No
654344,2166,"Sergio Castellitto",Yes,Yes
654344,82923,"Bérénice Bejo",Yes,No
654344,1589101,"Matilda De Angelis",Yes,No
654344,1605204,Clementino,Yes,No
654344,5683,"Sandra Milo",Yes,No
752616,931963,"Blu Yoshimi",Yes,No
752616,79291,"Luciano Cáceres",Yes,No
592695,2280178,"Sofia Kappel",Yes,No
592695,1908347,"Zelda Morrison",Yes,No
592695,139422,"Tee Reel",Yes,No
592695,1903886,"Evelyn Claire",Yes,No
592695,1202732,"Chris Cock",Yes,No
655738,238512,"Morten Harket",Yes,No
655738,238513,"Paul Waaktaar-Savoy",Yes,No
655738,238511,"Magne Furuholmen",Yes,No
749136,3638804,"Clara Gostynski",Yes,No
749136,3791479,"Alexei Evstratov",Yes,No
749136,3791494,"Monika Stalder",Yes,No
749136,3791490,"Hélio Thiémard",Yes,No
749136,3791484,"Li Tavor",Yes,No
517815,50293,"Henriette Confurius",Yes,No
517815,1463229,"Liliane Amuat",Yes,No
517815,54948,"Ursina Lardi",Yes,No
517815,1583269,"Flurin Giger",Yes,No
517815,1846,"André Hennicke",Yes,No
835975,1285450,"Franz Rogowski",Yes,No
835975,40526,格奧爾格·弗里德里希,Yes,No
835975,1576708,"Anton von Lucke",Yes,No
835975,1784461,"Thomas Prenn",Yes,No
835975,1294450,"Thomas Stecher",Yes,No
760522,2978947,"Yu Duong",Yes,No
760522,1595665,"Thi Kieu Trinh Nguyen",Yes,No
760522,2842928,"Mai Bích Trâm",Yes,No
760522,2978945,"Xuân Hiệp",Yes,No
760522,2978946,"Neko Bao Tien",Yes,No
930478,2296513,"Khả Như",Yes,No
930478,3397335,"Mạc Can",Yes,No
930478,1043250,"Vân Trang",Yes,No
930478,3397341,"Huỳnh Thanh Trực",Yes,No
930478,3397342,"Lê Bê La",Yes,No
947890,1450858,"Lam Thanh My",Yes,No
947890,2413141,"Ngô Quang Tuấn",Yes,No
947890,2301772,"Mai Cat Vi",Yes,No
947890,1878202,"Diệu Nhi",Yes,No
893030,4467117,"Má Thị Di",Yes,No
893030,4467118,"Châu Thị Xay",Yes,No
893030,4467119,"Má A Pho",Yes,No
893030,4467120,"Má Thị La",Yes,No
