id,name,movie_id
1713223,Jimmy Keyrouz,712128
1650,François Truffaut,1628
1846754,Fanny Liatard,712178
2195612,Jérémy Trouilh,712178
1171420,Antonin Peretjatko,660955
17458,Abdellatif Kechiche,152584
1650,François Truffaut,1716
54675,Zabou Breitman,582881
2244653,Eléa Gobbé-Mévellec,582881
35530,Christopher Thompson,757341
77131,Pascal Elbé,809733
222686,Mia Hansen-Løve,747779
1784936,Charline Bourgeois-Tacquet,781453
7288,Stéphane Brizé,664506
3776,Jean-Luc Godard,8072
113610,Thomas Gilou,736500
1402420,Louis-Julien Petit,845140
3776,Jean-Luc Godard,1626
3776,Jean-Luc Godard,4710
24485,妮可·賈西亞,594691
1494070,Cécile Ducrocq,810677
4600,Joe Dante,11298
445843,Axelle Ropert,749107
114953,潔哈汀·娜卡契,589985
19937,Valérie Donzelli,582886
10316,Θόδωρος Αγγελόπουλος,47792
10316,Θόδωρος Αγγελόπουλος,51735
239542,中平康,179890
10316,Θόδωρος Αγγελόπουλος,47795
1271172,Sonia Liza Kenterman,764810
309,佩卓·阿莫多瓦,766798
1200444,丹尼·迪·拉·歐登,755437
584191,Gastón Duprat,668640
584193,Mariano Cohn,668640
212687,Daniel Calparsoro,542917
2269274,Roberto Bueso,954748
1045394,Toni García,768726
1263877,Jorge Dorado,946706
2002122,Macarena Astorga,772148
87378,Ayan Mukerji,496331
1697401,Jeo Baby,786064
7324,Pan Nalin,821494
121798,Joko Anwar,925786
1515263,Kamila Andini,859933
930499,Péter Bergendy,655363
1059880,Ildikó Enyedi,574078
2961971,Hannes Þór Halldórsson,792775
119294,Abbas Kiarostami,49964
119294,Abbas Kiarostami,47104
119294,Abbas Kiarostami,83761
229931,اصغر فرهادی,672208
1901973,Behtash Sanaeeha,669401
1901974,Maryam Moghaddam,669401
1661499,Leon Lee,888602
143593,Xavier Dolan,519141
224,David Cronenberg,819876
110,維果·莫天森,554761
1866491,Phil Connell,740963
1097098,Christopher MacBride,522406
2905749,Benjamin Mousquet,778855
76100,Ben Stassen,778855
1283010,外崎春雄,635302
2264366,박성후,810693
125385,橋本昌和,955666
109191,今石洋之,553600
1845070,三浦陽,795564
1456779,三原三千夫,795564
1175046,鈴木大司,795564
1937966,Wataru Takahashi,795564
1654352,菊地康仁,876792
1360022,藤井道人,876797
608,宮崎駿,129
992866,大森貴弘,877840
608,宮崎駿,8392
1373229,田口智久,916192
2403335,児玉徹郎,610150
1487492,濱口竜介,758866
608,宮崎駿,10515
1495399,神保昌登,820067
133251,三木孝浩,977871
127890,西谷弘,956564
1530279,赤井俊文,829920
101915,山本泰一郎,925492
1481756,龍輪直征,820530
1487492,濱口竜介,795811
1898633,井上雄彦,783675
93107,湯浅政明,642538
1880399,Kazuhito Nakae,824362
131564,吉浦康裕,741335
1310363,永井聡,808667
63689,下山天,983866
1693097,井端義秀,896499
20310,清水崇,854006
1034272,橋本一,698215
1695439,直谷たかし,978039
130646,土井裕泰,695932
934830,平牧大輔,966709
2936479,野呂純恵,1081641
1969266,越田知明,1081640
2130029,上田慎一郎,899743
2230559,片山慎三,874476
1310153,李虹,264718
131374,前田哲,853731
52909,原田眞人,726894
135208,田中亮,930432
1072778,山田尚子,120811
106549,瀬々敬久,794719
1265162,永江二朗,959439
130459,佐藤東弥,76826
1187141,宮地昌幸,633844
40336,安藤雅司,633844
2430932,清水康彦,792678
1117479,渡辺歩,781816
77679,塚本連平,514880
1324582,いしづかあつこ,846993
1051851,村上正典,996499
2388945,Loundraw,798544
1748363,神徳幸治,853821
127218,平野隆,996666
1138579,大九明子,912632
1494690,早川千絵,958487
1487492,濱口竜介,487850
128476,三木聡,831920
233694,水谷豊,1037696
1279429,タカハタ秀太,844225
2752335,後藤庸介,938133
1264467,狩山俊輔,963131
69167,伊丹十三,42095
69167,伊丹十三,11830
94050,荻上直子,749927
1421873,坂下雄一郎,863857
142670,李相日,849786
1285000,堀貴秀,464768
183,森本晃司,77248
557936,中澤一登,77248
240777,田中達之,77248
56341,前田真宏,77248
1456632,大平晋也,77248
133251,三木孝浩,961415
238727,渡辺謙作,956450
585208,英勉,742396
1204797,片岡翔,958017
81355,堤幸彦,735409
1046090,深田晃司,927594
572028,城定秀夫,987573
106549,瀬々敬久,794721
237465,小泉德宏,961266
1500346,河合勇人,756198
628,高畑勳,149871
1919583,堀江貴大,810587
628,高畑勳,15080
78268,廣木隆一,848298
579313,内田英治,961381
1730920,川面真也,760758
1131417,Edmund Yeo,847335
236470,三谷幸喜,46361
1139402,John Daschbach,809695
1050610,沖田修一,952438
97359,平山秀幸,954094
1115707,吉田大八,744714
1321076,伊藤尚往,461078
572028,城定秀夫,960312
131186,中島哲也,54186
1422573,ウエダアツシ,810674
1133053,今泉力哉,859798
1134988,李闘士男,890326
996639,宍戸淳,93013
236470,三谷幸喜,130023
17282,三池崇史,845611
128476,三木聡,995387
3661196,Takayuki Okutsu,1011873
236470,三谷幸喜,112903
95501,小津安二郎,18148
895706,今岡信治,1003706
96956,Yin-jung Chen,146126
357,Hany Abu-Assad,782648
8557,費南多.梅瑞爾斯,598
1148927,Jonas Poher Rasmussen,680813
1012319,九把刀,783740
1309565,Kevin Ko,864370
3239003,Yang Chih-lin,793392
2888800,Du Zheng-zhe,839294
129264,Zero Chou,1005555
56379,Chung Mong-Hong,852355
81174,顏正國,943737
2404505,Bang-Yao Liu,931894
3353532,Shen Danguei,918035
2373899,黄天仁,804725
92071,黃強華,925725
2053569,Fiona Roan,878987
2684402,If Chen,1007962
3362045,Chih-Hsiung Liu,917717
2683751,Lin Jinhe,1025086
1588223,Laha Mebow,975812
74026,Hsu Hsiao-Ming,205464
1136125,Fu-wha Jan,876648
2094726,Ching Shen Chuang,957112
126714,陳駿霖,933785
3142687,Harry Shuei,846517
1966246,黃嘉俊,764425
1475472,Yao Hung-I,1006694
2196924,盧盈良,937356
2036987,Ching-lin Chan,899460
2981642,Chih Hsin Hu,796155
1505811,Wi Ding Ho,796155
103649,Yi-an Lou,880156
3441610,Deng Zhong Mou,942953
2883959,CJ Wang,769802
3548890,Lee Yi Fang,975575
1580569,陳大璞,860887
1966252,Chieh-Te Liang,984997
984416,Lin Jing-Jie,1005979
4271605,Hui-Lin Hsu,987422
2000530,Che-Hsien Su,931885
3286349,Yang-Chung Fan,890538
2276604,Kethsvin Chee,740823
1580826,楊力州,946267
4454857,Tu Jung-Feng,939287
131295,Yee Chin-Yen,767246
3289267,賴麗君,891566
3418133,Chen Yen-Kuang,936286
3706994,Juang Chia-shiou,1026182
3677076,Yang Wei-Hsin,1017006
1985836,Jay Chern,927480
1355012,Kuo Chen-ti,810020
1333870,詹凱迪,899387
3129641,Teng-Yuan Chang,829584
3216204,Martin Rustandi,868682
2470685,So-ching Ko,893252
2922825,Lee Chia-hua,960450
31083,David Verbeek,660001
69831,朱天文,816752
3236477,Hui-Ling Chen,874781
56205,Atom Egoyan,302528
1384389,Chienn Hsiang,877246
1387205,Maso Chen,900843
3706994,Juang Chia-shiou,1026182
3655587,Jen-hui Lien,1009987
1006872,Chang Tso-chi,814174
1966272,Lin Hao-shen,1153451
3655548,Jo Nung Lee,1009977
3674697,朱詩鈺,1025309
2632628,Chu Yen-Lan,1050665
4356449,萧菊贞,1200506
92071,黃強華,24614
3549247,Yao Kuo Chen,975681
1580826,楊力州,1032330
3756671,Hsin-Che Cheng,1039769
3634452,Hua Tian-hao,137686
2816828,Amy Ma,798092
1012320,柯震東,741329
1576769,Huang Hsin-Yao,939939
1307164,Teng Yung-Shing,375281
1333863,Ming-Chuan Huang,316569
254937,Ken Harrison,74107
1333863,Ming-Chuan Huang,484574
1333863,Ming-Chuan Huang,278445
1092244,Chang Yi,256133
1158889,Wang Tung,262831
1158889,Wang Tung,356701
1158889,Wang Tung,262828
123199,Ann Hui,660002
96861,關錦鵬,27062
1627287,賈玲,758891
71056,娄烨,497834
2021340,Wei Shujun,712164
56739,Peter Chan,638032
1326036,韓寒,827689
2091938,Qiu Sheng,537867
3369910,Xing Wenxiong,923192
3322564,Gao Ke,903125
2399109,Pawo Choyning Dorji,627087
1962993,Hu Bo,499556
118734,Yang Shupeng,436792
20657,Cristian Mungiu,919570
21684,봉준호,496243
2376041,이상용,955555
1576066,엄태화,729854
548068,황인호,774548
3457652,Kim Soo-jung,993885
583175,정용기,844386
557736,박훈정,1057001
10099,박찬욱,705996
84969,김용화,753091
2212385,Lee Hu-bin,1148154
120643,임순례,606400
17119,김성수,919207
1135240,김성훈,581395
4100888,Lim Jae-kyung,1137172
1720838,박희곤,813079
587672,Min Yong-keun,617882
2097690,Nam Dae-joong,1052433
1632457,Yun Jun-hyung,977155
3001949,An Tae-jin,806128
580244,Lim Dae-wung,1168166
112752,김용균,1168166
2312405,채여준,1168166
2545616,윤은경,1168166
111411,Ahn Sang-hoon,1168166
64883,강제규,581394
3811675,Tim Ewalts,1357982
3715927,Kim Chang-hoon,1028684
2392774,Kim Seong-sik,950253
2132020,Im Jin-soon,717090
86325,류승완,783110
1294510,Lee Seung-jun,941045
3081451,Kim Sun-ung,987540
17120,鄭雨盛,656156
1619433,Seo Eun-young,962489
2774483,홍원기,957154
1072375,김성수,882580
1294643,정지영,714651
2189115,Kim Kyoung-won,848198
2919106,유재선,964592
1717032,Jiuliang Wang,848145
1293710,이해영,715253
1771406,장항준,936243
3137399,Kim Jae-hoon,952476
1883920,박성광,995063
1410322,金周煥,610249
1910480,Lee Won-tae,640327
69081,金智允,901121
1764940,Ma Dae-yun,773910
96657,이창동,41245
3593576,윤제완,979688
3593579,Kang Seung-hun,979688
10099,박찬욱,670
1057492,김조광수,1106528
4076935,Elijah Perry,1146789
83030,이한,978202
2523822,He Shuming,958937
10099,박찬욱,4550
1293686,변성현,573787
1312149,정주리,923344
21684,봉준호,30018
2085263,최신규,636283
2085264,Kim Jin-cheol,636283
3593576,윤제완,1189165
4312690,Kim Sung-min,1189165
10099,박찬욱,4689
2402788,Lee Chang-won,817485
3048836,Kwon Sung-mo,817485
2042738,Park Jun-soo,1106732
63429,곽재용,42190
3422997,Lee Soon-sung,956759
2042738,Park Jun-soo,1076443
571162,Kim Hong-ik,831480
150975,홍상수,1002470
2233732,이종은,682109
557736,박훈정,165213
1285352,양우석,242452
2836746,Chen-Hao Yin,797787
150975,홍상수,1077647
150975,홍상수,928713
1296107,Kim Yeong-tak,62439
2687337,Lee Han-jong,717908
1149649,이환경,158445
1086497,조성희,128246
1210155,Mahalia Belo,973778
19896,Jessica Hausner,938250
2030740,Jesse Ahern,1075010
58401,Joanne Samuel,1075010
1680263,Maryam Touzani,958279
8193,Florian Henckel von Donnersmarck,582
3483989,Adam Gunn,955644
116736,Matthias Temmermans,955644
37538,Matti Geschonneck,910365
1071,Tom Tykwer,104
33040,Nicolette Krebitz,928709
113500,Philipp Stölzl,748787
2303,Wim Wenders,976893
62872,Katja von Garnier,842424
5125,Fatih Akin,912726
74008,Hans Steinbichler,586813
6818,Werner Herzog,9343
1988887,Балжиннямын Амарсайхан,1033176
2146603,Amr Gamal,1061648
2850054,Daniel Lascar,1017063
2466702,Alessandro Antonaci,1017063
2852400,Stefano Mandalà,1017063
65314,Giuseppe Tornatore,396194
28898,Michael Radford,11010
939150,Charlotte Vandermeersch,803700
239672,Felix van Groeningen,803700
25819,Michele Placido,693349
1563462,Donato Carrisi,852758
225880,Paolo Costella,743173
90139,Erik Gandini,1091360
2927206,Gabriele Fabbro,795254
1667540,Roberto Zazzara,794234
236865,Stefano Sardo,794246
119293,Tarik Saleh,788977
111389,Simon Sandquist,1058078
1451375,Johannes Persson,1015936
1619897,Eva Vitija,915939
1170106,Anthony Chen,584242
3645700,Boi Kwong,1029178
1284692,Lorcan Finnegan,782936
2294822,Colm Bairéad,916405
65062,Marie Kreutzer,888321
141388,Dieter Berner,997777
2034461,Hoàng Tuấn Cường,1073449
3677079,Phạm Minh Hữu Tiến,1057919
1593452,Nguyễn Minh Chung,1057919
2452110,Joseph Mangat,1030991
1280765,Nico van den Brink,959558
131668,Nathan Frankowski,296271
592312,Miloslav Šmídmajer,835362
2383553,Tomasz Wiński,993234
3713658,Jin Ong,1027982
2838953,Keat Aun Chong,759524
2838953,Keat Aun Chong,973587
1062447,Dain Said,1015079
1899637,Amanda Nell Eu,1077693
1040793,Maryna Er Gorbach,913760
2338840,Antonio Lukich,1005141
3820182,Mstyslav Chernov,1058616
1543246,Alisa Kovalenko,853084
111481,โสภณ ศักดาพิศิษฏ์,977177
1364891,Samuel Bodin,709631
2326894,Thiti Srinuan,1113119
1862367,Naphat Chitveerapat,976125
3028833,Kanittha Kwanyu,976125
565827,Bhandit Thongdee,1113085
1651297,Phontharis Chotkijsadarsopon,1031388
1572524,Lee Thongkham,842607
1284545,อดิสรณ์ ตรีสิริเกษม,937753
1338664,ชาติชาย เกษนัส,1076011
3891119,กฤษดา วิทยาขจรเดช,1076011
3961076,Bhanbhassa Dhubthien,1076011
962478,Kongdej Jaturanrasmee,952127
1563787,Rasiguet Sookkarn,952127
1272144,วรรณแวว หงษ์วิวัฒน์,977179
1272145,แวววรรณ หงษ์วิวัฒน์,977179
2593321,Hans Lukas Hansen,804868
1280021,Kristoffer Borgli,788734
66719,莊文強,823598
92831,邱禮濤,1093485
1341,甄子丹,990140
1415282,闞家偉,990140
1194706,翁子光,531379
12453,王家衛,18329
1879401,Nick Cheuk,957863
2434741,Hing Fan Wong,741602
81224,吳煒倫,990326
93991,鄭保瑞,591222
118734,Yang Shupeng,436792
96861,關錦鵬,68004
93991,鄭保瑞,969050
3639307,Ho Cheuk-Tin,1005251
21905,彭發,1172012
2726421,Anastasia Tsang,824742
11401,吴宇森,11471
92831,邱禮濤,902533
3459039,Lau Kok-Rui,1029168
20640,陳凱歌,10997
1278466,Lawrence Kan,1099217
