adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,0,3483989,Directing,Adam Gunn,Adam Gunn,0.001,,62421a655a9915005d571efa,Directing,Director,955644
False,2,116736,Directing,Matthias Temmermans,Matthias Temmermans,0.606,/qDz6n284xLjn40OUI09drRTBcrQ.jpg,62421a731cfe3a005cf25102,Directing,Director,955644
False,2,28523,Acting,Dietrich Brüggemann,Dietrich Brüggemann,1.303,/l6goAXanMSx3NTu9rUTAgRBLcyV.jpg,5c1043e30e0a2638cc0f1180,Directing,Director,567927
False,2,32958,Directing,Dominik Graf,Dominik Graf,3.269,/bVkXsyYYLPvDda1o7LQsWGQAWKn.jpg,5d460b290f2fbd7864ee1be4,Directing,Director,620498
False,1,22686,Acting,Maria Schrader,Maria Schrader,3.202,/sZuIcKq5D75GNKlYecK08O3X0hG.jpg,60251caed6c30000416e2041,Directing,Director,795813
False,2,3872,Acting,丹尼爾·布爾,Daniel Brühl,27.193,/3YlmTfiy5qZXkrdKGjaM1uMjGKP.jpg,5e63f12e459ad6001a57a05a,Directing,Director,681349
False,2,46680,Writing,Florian Gallenberger,Florian Gallenberger,3.293,/zT6WkeIArtiyyftawuriwmUK1vP.jpg,61369e910b7316008a646eca,Directing,Director,871530
False,2,1119419,Directing,Shawkat Amin Korki,Shawkat Amin Korki,0.001,/fKngqzkKK8eB9IikvjwwcwuR7UB.jpg,60f6fe3a9603310060f89ef4,Directing,Director,852457
False,0,1992140,Directing,Adam Kalderon,Adam Kalderon,0.001,,5f511cdca055ef003457cd75,Directing,Director,739323
False,1,1270757,Directing,Marcela Lordy,Marcela Lordy,0.001,/5Bpe3yfZSqwAPv6hNn0eL5avC2O.jpg,5cfb3402c3a3680b4e2713d5,Directing,Director,607442
False,2,104243,Acting,佛洛里昂·大衛·費茲,Florian David Fitz,7.728,/wGiIOnnnwxNLGX69o7Go4WA7Tk1.jpg,5b8fbadc925141739400c2c3,Directing,Director,546630
False,2,1185850,Directing,Ronny Trocker,Ronny Trocker,0.001,/xL12Evz8lp9D4OFimhCGcf8knPl.jpg,5fd94e37eb14fa003ff87408,Directing,Director,776542
False,2,1071,Directing,Tom Tykwer,Tom Tykwer,7.3629999999999995,/7Upo7OK9T1jKkpjXnZHA7bhgwlN.jpg,52fe4218c3a36847f80038ab,Directing,Director,104
False,2,69488,Directing,Nanni Moretti,Nanni Moretti,4.787,/zbZr2fbJp1xCX0xG77yUOPpWtHJ.jpg,5d4a3776439be1001290d2b1,Directing,Director,608980
False,2,225160,Directing,Paolo Genovese,Paolo Genovese,4.917,/inn6owypkGYh8zzGiD7s3HgSCQc.jpg,5d1a56cbd7a70a6151ab32cb,Directing,Director,612491
False,2,71174,Directing,Tsai Ming-liang,Tsai Ming-liang,6.335,/ceVmDE537vnoxiGmkoNOf5srJWr.jpg,52fe471cc3a36847f8123fbf,Directing,Director,47060
False,2,2166,Acting,Sergio Castellitto,Sergio Castellitto,14.781,/uq5xz7kinzgdclGOcechgfPBgYC.jpg,5deceece32489b0012c14719,Directing,Director,654344
False,0,2812831,Directing,Mattia Temponi,Mattia Temponi,0.001,,5f847c672d8ef30039b5a909,Directing,Director,752616
False,1,1202063,Directing,Ninja Thyberg,Ninja Thyberg,2.98,/9uY75TQt9lX3mK9v3eAmChFUxaC.jpg,5ca47820c3a3685ab90c151c,Directing,Director,592695
False,2,224591,Directing,Thomas Robsahm,Thomas Robsahm,1.438,/edg98vkqn6XI4iOhzxPgRBSkA83.jpg,5df539c3d1a89300127777c6,Directing,Director,655738
False,2,1855522,Directing,Cyril Schäublin,Cyril Schäublin,0.11800000000000001,/g8A4ScAVmClCXcFvq5SoaCpBq3t.jpg,5f775f83d4d509003307900a,Directing,Director,749136
False,2,1145841,Directing,Ramon Zürcher,Ramon Zürcher,0.001,/rRtclduTvxeIe4PpKo2vtUNpNRX.jpg,5acf76c0c3a36834de0b4db9,Directing,Director,517815
False,2,2021634,Directing,Silvan Zürcher,Silvan Zürcher,0.001,/EdfEIobzf3XstfILiT6SLidJ5p.jpg,60255f1c8b959e003f2056f0,Directing,Director,517815
False,2,1091974,Directing,Sebastian Meise,Sebastian Meise,0.065,/yc24AZyPPoEoW70aY4hcBniaDcq.jpg,60b6d267dd926a003f4c9d67,Directing,Director,835975
False,0,3126678,Directing,Peter Mourougaya,Peter Mourougaya,0.001,,60c9f91018864b0040173646,Directing,Director,760522
False,0,2428652,Directing,Trần Hữu Tấn,Trần Hữu Tấn,0.001,,61f0f77f136545001cf98dca,Directing,Director,930478
False,2,1264876,Directing,Le Van Kiet,Le Van Kiet,3.628,/i8sojickGYGbPnIYRj5KBjQmxjr.jpg,6229e6289a358d0046121e31,Directing,Director,947890
False,1,3293749,Directing,Hà Lệ Diễm,Hà Lệ Diễm,0.001,/cpSgbRLatYNDFznVymYN8e2CNUN.jpg,6180bd12a3d027008c73f399,Directing,Director,893030
False,2,1180660,Directing,Peter Bebjak,Peter Bebjak,2.019,/me2NfIz0tcgIA10ydwqrm84t3SL.jpg,5eef861cf12cf4003557b448,Directing,Director,717694
False,2,1664690,Writing,Jan Bubeníček,Jan Bubeníček,0.001,/sKEFtMvsKRc73I6J0OQUfHx1pIN.jpg,5c8eca660e0a2612ed573b53,Directing,Director,588890
False,1,223657,Art,Denisa Grimmová Abrhámová,Denisa Grimmová Abrhámová,0.549,/4iZFpmQcVNwsZdmzaqE2pK8HnWO.jpg,5c8eca5c9251410feda27f20,Directing,Director,588890
False,2,138797,Directing,F. A. Brabec,F. A. Brabec,1.033,/oKi1kwC6AaWIaAJSsRTT9ZVYRCo.jpg,5f1175bae61e6d0034ed3405,Directing,Director,725133
False,1,1197916,Directing,Tan Chui Mui,Tan Chui Mui,1.6360000000000001,/1Xfhl8YU7s5ZYq8UURIIBoaKgCG.jpg,602628a24a4bfc0041a6c7f3,Directing,Director,796151
False,2,2267529,Writing,José Zelada,José Zelada,0.749,/8IIMBwnhasLbOvEfRTZKTRLzMAA.jpg,6649183a3c2a4d2bf2cc0367,Directing,Director,588921
False,2,57810,Production,Richard Claus,Richard Claus,3.076,/e986jPpP4oA9JGxI4iSMqBxcJ0M.jpg,5c8eed8a0e0a26130457c8f1,Directing,Director,588921
False,2,146922,Directing,Ilya Maksimov,Ilya Maksimov,0.746,,600ebc60cb8028003f05dcd9,Directing,Director,763539
False,1,1040793,Directing,Maryna Er Gorbach,Maryna Er Gorbach,3.17,/nzUknbR1Q7uohdMME9BzhQPMO1B.jpg,61b28cf9071650008dc331b6,Directing,Director,913760
False,2,2770699,Directing,Weerachit Thongjila,Weerachit Thongjila,0.6970000000000001,/yvS1FFsGDDinJSFYC6VOvlmjAEB.jpg,6071741b498bc20040d23d6c,Directing,Director,810406
False,2,2451192,Directing,Noppharnach Chaiwimol,Noppharnach Chaiwimol,8.518,/jLgugmt2xnyA9YAK7nZaegW8fE3.jpg,6071744fcc277c005ace272c,Directing,Director,810406
False,1,3028833,Directing,Kanittha Kwanyu,Kanittha Kwanyu,1.824,/r97TiTBSYGrNAz26FbMDFFJDo3G.jpg,63e4db350e597b00cd7bb007,Directing,Director,810406
False,0,2415585,Production,Pattaraporn Werasakwong,Pattaraporn Werasakwong,0.001,,62225fd7ede1b0004446c674,Directing,Director,939879
False,0,3452577,Directing,Eakarpon Settasuk,Eakarpon Settasuk,0.001,,622267c5c2823a0042188f86,Directing,Director,939879
False,0,3452586,Directing,Jatuphong Rungrueangdechaphat,Jatuphong Rungrueangdechaphat,0.61,,6222694de16e5a0042e285a1,Directing,Director,939879
False,0,3467504,Directing,Lertsiri Boonmee,Lertsiri Boonmee,0.001,,62318409c5840d0048241fdb,Directing,Director,947514
False,0,3467507,Directing,Wuttichai Wongnoppadon,Wuttichai Wongnoppadon,0.001,,623184d34142910073b5d879,Directing,Director,947514
False,0,3466273,Directing,Chalit Krileadmongkon,Chalit Krileadmongkon,0.528,,623063e00328b9004623f1ad,Directing,Director,949697
False,2,1286081,Directing,ภาคภูมิ วงษ์จินดา,ภาคภูมิ วงษ์จินดา,0.265,/81t9B9NlJLoxO9KKdGg31I75o20.jpg,6325b2b5fd4a96007f62bfed,Directing,Director,949697
False,2,1651297,Directing,Phontharis Chotkijsadarsopon,Phontharis Chotkijsadarsopon,1.963,/pA6btMLzMRIRGjUDxwL0nlVRBw7.jpg,6231ab47da10f00072cc0511,Directing,Director,937743
False,2,1678442,Directing,Prueksa Amaruji,Prueksa Amaruji,1.096,/qQ0rZk3dfa8JQwMCNNXnzXag3y.jpg,61d443951b722c008bf60fbd,Directing,Director,922378
False,2,69759,Directing,Apichatpong Weerasethakul,Apichatpong Weerasethakul,7.662,/zZyGqhaPNzeb88bHkYiCQHHXyhY.jpg,5aa9af680e0a2664f900196b,Directing,Director,511819
False,2,69759,Directing,Apichatpong Weerasethakul,Apichatpong Weerasethakul,7.662,/zZyGqhaPNzeb88bHkYiCQHHXyhY.jpg,52fe46b29251416c9105ca3f,Directing,Director,38368
False,0,3466273,Directing,Chalit Krileadmongkon,Chalit Krileadmongkon,0.528,,62306280982f74007bc50cc9,Directing,Director,947049
False,0,3631267,Directing,Chittapol Ruengkulp,Chittapol Ruengkulp,0.001,,62d825a01c635b005089cc8c,Directing,Director,947049
False,2,444892,Writing,Eskil Vogt,Eskil Vogt,4.288,/y5Rg3vdQleveYe7VfyGve4ljDtV.jpg,5e114994d64ac20018625c3a,Directing,Director,660942
False,1,1421849,Directing,Yngvild Sve Flikke,Yngvild Sve Flikke,0.656,/akFpOMDMzrJoJX0j2N8vVKIOzJG.jpg,5deb02485c5cc80014cb592b,Directing,Director,654074
False,2,3095085,Directing,Huiwu Ma,Huiwu Ma,0.001,,60a403d09a9e20006f5eec81,Directing,Director,831031
False,2,1144405,Directing,Leung Lok-man,Leung Lok-man,0.445,/jqK7E42ZzKUFSh9n9lTQ3ywbAMi.jpg,60e720c9b76cbb0073e7a992,Directing,Director,848788
False,2,70109,Directing,陳木勝,陳木勝,7.431,/oOWuOxW6bBlDi7Zc5Mv3F6ytIjy.jpg,5ab62b9f0e0a261ff4007ef8,Directing,Director,513692
False,2,58052,Writing,韋家輝,韋家輝,4.228,/8A97ii7mGZcVtId5nUx7QoXc4hb.jpg,5b7b3e8dc3a36860dd062563,Directing,Director,543504
False,0,2434741,Directing,Hing Fan Wong,Hing Fan Wong,0.001,,5da8618bb7b69d0013e8bb25,Directing,Director,640092
False,2,12453,Directing,王家衛,王家衛,13.405,/fyksuJqbV8fixJvMOZXZWtQyEtT.jpg,52fe47749251416c75099ecd,Directing,Director,18329
False,2,12453,Directing,王家衛,王家衛,13.405,/fyksuJqbV8fixJvMOZXZWtQyEtT.jpg,52fe47739251416c75099ccb,Directing,Director,18311
False,2,96861,Directing,關錦鵬,關錦鵬,3.466,/9f9lTqF1xCcYN4g7pR1iOML4Pin.jpg,52fe47acc3a368484e0d3a2d,Directing,Director,68883
False,2,2067023,Writing,Sunny Chan Wing-Sun,Sunny Chan Wing-Sun,1.087,/rVHtX5VEhmzD2EOJu0oDxhZb4PP.jpg,60f44de3b865eb0048ac7429,Directing,Director,851800
False,2,93991,Directing,鄭保瑞,鄭保瑞,7.554,/vMHzGQ0p7OovcZ0EPLwFa7lxcSs.jpg,5c9b9fb10e0a2610e5c3c031,Directing,Director,591222
False,2,118734,Directing,Yang Shupeng,Yang Shupeng,2.523,,59590d8f9251410c5602259e,Directing,Director,436792
False,2,141503,Directing,林德禄,林德禄,4.602,/3sQ9QlMkM6m62oljpTjDs9luOMA.jpg,606c9bfd1cc4ff00581f528f,Directing,Director,814785
False,2,96861,Directing,關錦鵬,關錦鵬,3.466,/9f9lTqF1xCcYN4g7pR1iOML4Pin.jpg,52fe4780c3a368484e0ca867,Directing,Director,68004
False,2,11401,Directing,吴宇森,吴宇森,15.567,/s7sDmQq8cegHnsTmD0u2eZ4ArYZ.jpg,52fe44479251416c7502f11b,Directing,Director,11471
False,0,3162624,Directing,Coba Cheng,Coba Cheng,0.001,,60f44cc37b7b4d0045580874,Directing,Director,851798
